# (c) Die Bundeswahlleiterin (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2025
# Bundestagswahl 2025, Zweitstimmen nach Gemeinden (Wahlbezirksstatistik, gemeinsam ausgezählte Briefwahl anteilig verteilt, geschätzt)
Gemeindeschlüssel;Gemeinde;Wahlberechtigte;Wählende;Gültige · Zweitstimmen;CDU · Zweitstimmen;CSU · Zweitstimmen;SPD · Zweitstimmen;AfD · Zweitstimmen;GRÜNE · Zweitstimmen;FDP · Zweitstimmen;Die Linke · Zweitstimmen;BSW · Zweitstimmen;FREIE WÄHLER · Zweitstimmen;Übrige · Zweitstimmen;Briefwahl;Auszählungseinheit;Enthält
01001000;Flensburg, Stadt;69358;55072;54751;9553;0;8584;7573;11284;1806;7042;1822;180;6907;eigene Auszählung;;
01002000;Kiel, Landeshauptstadt;183830;151581;150775;28257;0;29076;16447;34823;5773;21728;5060;525;9086;eigene Auszählung;;
01003000;Lübeck, Hansestadt;162925;129549;128786;28144;0;27615;19687;23610;4880;14043;4862;871;5074;eigene Auszählung;;
01004000;Neumünster, Stadt;58634;44693;44350;11235;0;8689;9888;4656;1837;3574;2047;326;2098;eigene Auszählung;;
01051001;Albersdorf;2819;2261,1;2240,5;660,6;0;391,4;487;209,1;106,4;147,2;78;16,9;143,9;anteilig geschätzt;Amt Mitteldithmarschen;Wennbüttel
01051002;Arkebek;243;219,2;217,1;70,5;0;39,7;39,2;19,7;13,1;10,7;5,9;0,7;17,6;anteilig geschätzt;Amt Mitteldithmarschen;Schrum
01051003;Averlak;511;433,6;431,2;117,9;0;65,6;152;16;12,1;18,2;10,4;4,6;34,4;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051004;Bargenstedt;775;674,7;670,2;234,1;0;90,5;141,9;60,6;42,2;34,1;24,5;8,2;34,1;anteilig geschätzt;Amt Mitteldithmarschen;
01051005;Barkenholm;145;136,2;135,1;42,1;0;22,6;24,9;15,4;7,9;6,8;4,7;1,3;9,4;anteilig geschätzt;KSLG Eider;
01051006;Barlt;591;519,2;516,9;161,4;0;92,3;127;38,1;28,5;26,7;11;8,4;23,5;anteilig geschätzt;Amt Mitteldithmarschen;
01051010;Brickeln;162;134,8;132,7;38,6;0;17,6;44,8;6,4;4;8,6;2,7;0,8;9,2;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051011;Brunsbüttel, Stadt;9794;7807;7758;2050;0;1581;1796;666;430;479;285;56;415;eigene Auszählung;;
01051012;Buchholz;841;715,3;711,8;249,6;0;109,8;167,3;42,6;43,2;38;25,1;8,5;27,7;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051013;Büsum;4152;3347,3;3330,3;1140,6;0;658,4;557,5;345,8;204,2;144,4;99,2;24,7;155,5;anteilig geschätzt;Amt Büsum-Wesselburen;
01051014;Büsumer Deichhausen;322;271,6;269,3;83,1;0;59,9;34,4;32,9;22,4;12,3;13,6;0,6;10,1;anteilig geschätzt;Amt Büsum-Wesselburen;
01051015;Bunsoh;722;633,3;630,9;225,8;0;79,6;97,6;63,2;33,7;46,5;25,1;4,1;55,3;anteilig geschätzt;Amt Mitteldithmarschen;Immenstedt
01051016;Burg (Dithmarschen);3400;2762,9;2744,1;786,8;0;489,1;683,1;234,3;148,3;167,6;82,9;23;129;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051017;Busenwurth;252;225,5;225,3;59,7;0;32,1;57,9;18,5;21,7;18,4;4,5;1,8;10,7;anteilig geschätzt;Amt Mitteldithmarschen;
01051019;Dellstedt;596;515,7;514,5;197,6;0;65,4;112,2;31,9;24,5;26,4;19,1;4,9;32,5;anteilig geschätzt;KSLG Eider;
01051020;Delve;681;579,1;577,9;179;0;90,2;124,3;43,9;36,1;34;21,7;2,2;46,5;anteilig geschätzt;KSLG Eider;Wallen
01051021;Diekhusen-Fahrstedt;562;484,8;480,7;142,2;0;88,1;111;32,2;28,3;33,7;14,5;4,4;26,3;anteilig geschätzt;Amt Marne-Nordsee;
01051022;Dingen;529;474,1;470,8;122,6;0;99,4;113,9;35,8;22,5;26,6;17;7,4;25,6;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051023;Dörpling;497;411;409,8;129,6;0;51,5;108,3;29,4;23,2;23,1;14,9;2,9;26,9;anteilig geschätzt;KSLG Eider;
01051024;Eddelak;1094;927,7;922,7;303,2;0;153,3;229,1;54;42,4;50,4;29,7;8,2;52,4;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051026;Eggstedt;635;552,5;551,1;167,9;0;95,8;126,7;35,1;31;32,5;22,2;5;34,9;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051027;Elpersbüttel;725;641,5;637,1;227,6;0;103,9;127,1;56,6;27,5;32,3;15,9;10;36,2;anteilig geschätzt;Amt Mitteldithmarschen;
01051028;Epenwöhrden;614;516,5;510,1;141,7;0;88,7;114,7;46,9;24;36,4;19,6;4,6;33,5;anteilig geschätzt;Amt Mitteldithmarschen;
01051030;Fedderingen;236;197,2;197,1;65,6;0;27,6;40;22,2;9,9;10,8;5,7;0,5;14,8;anteilig geschätzt;KSLG Eider;
01051032;Frestedt;309;268,5;268,2;89,3;0;38,2;55,9;20,2;20,3;15,2;5,7;4,3;19,1;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051034;Friedrichskoog;2024;1677,9;1664,1;504,8;0;281,1;425,4;99,9;101,4;80;65,7;25,4;80,4;anteilig geschätzt;Amt Marne-Nordsee;
